InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
eCS1,,,1,1.0,0.019,bg-sof1,,
eCS1,,,1,1.0,0.019,ch-lug1,,
eCS1,,,1,1.0,0.019,it-fr2,,
eCS1,,,1,1.0,0.019,it-mi2,,
eCS2,,,2,2.0,0.032,bg-sof1,,
eCS2,,,2,2.0,0.032,ch-lug1,,
eCS2,,,2,2.0,0.032,it-fr2,,
eCS2,,,2,2.0,0.032,it-mi2,,
eCS2W,,,2,2.0,0.048,bg-sof1,,
eCS2W,,,2,2.0,0.048,ch-lug1,,
eCS2W,,,2,2.0,0.048,it-fr2,,
eCS2W,,,2,2.0,0.048,it-mi2,,
eCS3,,,4,4.0,0.048,bg-sof1,,
eCS3,,,4,4.0,0.048,ch-lug1,,
eCS3,,,4,4.0,0.048,it-fr2,,
eCS3,,,4,4.0,0.048,it-mi2,,
eCS3W,,,4,4.0,0.078,bg-sof1,,
eCS3W,,,4,4.0,0.078,ch-lug1,,
eCS3W,,,4,4.0,0.078,it-fr2,,
eCS3W,,,4,4.0,0.078,it-mi2,,
eCS4,,,4,8.0,0.063,bg-sof1,,
eCS4,,,4,8.0,0.063,ch-lug1,,
eCS4,,,4,8.0,0.063,it-fr2,,
eCS4,,,4,8.0,0.063,it-mi2,,
eCS4W,,,4,8.0,0.127,bg-sof1,,
eCS4W,,,4,8.0,0.127,ch-lug1,,
eCS4W,,,4,8.0,0.127,it-fr2,,
eCS4W,,,4,8.0,0.127,it-mi2,,
eCS5,,,8,16.0,0.127,bg-sof1,,
eCS5,,,8,16.0,0.127,ch-lug1,,
eCS5,,,8,16.0,0.127,it-fr2,,
eCS5,,,8,16.0,0.127,it-mi2,,
eCS5W,,,8,16.0,0.253,bg-sof1,,
eCS5W,,,8,16.0,0.253,ch-lug1,,
eCS5W,,,8,16.0,0.253,it-fr2,,
eCS5W,,,8,16.0,0.253,it-mi2,,
eCS6,,,12,24.0,0.152,bg-sof1,,
eCS6,,,12,24.0,0.152,ch-lug1,,
eCS6,,,12,24.0,0.152,it-fr2,,
eCS6,,,12,24.0,0.152,it-mi2,,
ECS7,,,16,32.0,0.31,bg-sof1,,
ECS7,,,16,32.0,0.31,ch-lug1,,
ECS7,,,16,32.0,0.31,it-fr2,,
ECS7,,,16,32.0,0.31,it-mi2,,
ECS8,,,16,64.0,0.63,bg-sof1,,
ECS8,,,16,64.0,0.63,ch-lug1,,
ECS8,,,16,64.0,0.63,it-fr2,,
ECS8,,,16,64.0,0.63,it-mi2,,
ECS1AIA1,Tenstorrent Grayskull e75,1,16,64.0,0.068,bg-sof1,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e75', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA1,Tenstorrent Grayskull e75,1,16,64.0,0.068,ch-lug1,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e75', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA1,Tenstorrent Grayskull e75,1,16,64.0,0.068,it-fr2,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e75', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA1,Tenstorrent Grayskull e75,1,16,64.0,0.068,it-mi2,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e75', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA2,Tenstorrent Grayskull e150,1,16,64.0,0.1,bg-sof1,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e150', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA2,Tenstorrent Grayskull e150,1,16,64.0,0.1,ch-lug1,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e150', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA2,Tenstorrent Grayskull e150,1,16,64.0,0.1,it-fr2,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e150', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1AIA2,Tenstorrent Grayskull e150,1,16,64.0,0.1,it-mi2,"{'Gpus': [{'Name': 'Tenstorrent Grayskull e150', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU,RTX 6000 24GB,1,8,32.0,0.29,bg-sof1,"{'Gpus': [{'Name': 'RTX 6000 24GB', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU,RTX 6000 24GB,1,8,32.0,0.29,ch-lug1,"{'Gpus': [{'Name': 'RTX 6000 24GB', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU,RTX 6000 24GB,1,8,32.0,0.29,it-fr2,"{'Gpus': [{'Name': 'RTX 6000 24GB', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU,RTX 6000 24GB,1,8,32.0,0.29,it-mi2,"{'Gpus': [{'Name': 'RTX 6000 24GB', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU11,A30,1,8,32.0,0.29,bg-sof1,"{'Gpus': [{'Name': 'A30', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU11,A30,1,8,32.0,0.29,ch-lug1,"{'Gpus': [{'Name': 'A30', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU11,A30,1,8,32.0,0.29,it-fr2,"{'Gpus': [{'Name': 'A30', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS1GPU11,A30,1,8,32.0,0.29,it-mi2,"{'Gpus': [{'Name': 'A30', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
ECS8GPU10,H200 141GB,8,255,2048.0,20.8,bg-sof1,"{'Gpus': [{'Name': 'H200 141GB', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 131072}",
ECS8GPU10,H200 141GB,8,255,2048.0,20.8,ch-lug1,"{'Gpus': [{'Name': 'H200 141GB', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 131072}",
ECS8GPU10,H200 141GB,8,255,2048.0,20.8,it-fr2,"{'Gpus': [{'Name': 'H200 141GB', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 131072}",
ECS8GPU10,H200 141GB,8,255,2048.0,20.8,it-mi2,"{'Gpus': [{'Name': 'H200 141GB', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 131072}",
